No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,date,month_name
20,2013,3,1,19,8.0,14.0,12.0,30.0,500.0,60.0,2.3,1028.3,-18.4,0.0,N,2.8,Aotizhongxin,2013-03-01,March
21,2013,3,1,20,11.0,17.0,13.0,33.0,600.0,55.0,1.7,1029.1,-17.3,0.0,N,2.1,Aotizhongxin,2013-03-01,March
22,2013,3,1,21,12.0,18.0,16.0,35.0,500.0,50.0,0.6,1030.1,-16.7,0.0,ENE,0.8,Aotizhongxin,2013-03-01,March
23,2013,3,1,22,15.0,19.0,21.0,57.0,700.0,32.0,0.9,1030.5,-17.4,0.0,ENE,1.8,Aotizhongxin,2013-03-01,March
24,2013,3,1,23,24.0,24.0,26.0,54.0,600.0,36.0,-0.2,1030.5,-17.4,0.0,ENE,1.4,Aotizhongxin,2013-03-01,March
25,2013,3,2,0,22.0,24.0,24.0,44.0,500.0,44.0,-0.4,1031.0,-17.6,0.0,ENE,1.4,Aotizhongxin,2013-03-02,March
26,2013,3,2,1,14.0,17.0,21.0,36.0,400.0,50.0,-1.0,1031.3,-17.3,0.0,NNE,1.1,Aotizhongxin,2013-03-02,March
27,2013,3,2,2,13.0,13.0,20.0,37.0,400.0,47.0,-1.5,1030.9,-16.9,0.0,E,1.7,Aotizhongxin,2013-03-02,March
28,2013,3,2,3,3.0,9.0,13.0,34.0,400.0,52.0,-1.4,1030.6,-17.6,0.0,NNE,1.4,Aotizhongxin,2013-03-02,March
29,2013,3,2,4,3.0,7.0,18.0,43.0,400.0,43.0,-1.5,1030.8,-17.7,0.0,NNW,0.9,Aotizhongxin,2013-03-02,March
30,2013,3,2,5,9.0,11.0,19.0,70.0,500.0,20.0,-1.8,1030.1,-17.5,0.0,NNE,2.0,Aotizhongxin,2013-03-02,March
31,2013,3,2,6,4.0,10.0,28.0,46.0,500.0,39.0,-2.5,1029.6,-17.7,0.0,NW,0.7,Aotizhongxin,2013-03-02,March
32,2013,3,2,7,3.0,11.0,34.0,58.0,500.0,27.0,-1.7,1029.8,-17.0,0.0,NE,1.2,Aotizhongxin,2013-03-02,March
33,2013,3,2,8,3.0,7.0,21.0,49.0,500.0,43.0,-0.4,1029.6,-17.6,0.0,NE,1.8,Aotizhongxin,2013-03-02,March
34,2013,3,2,9,10.0,14.0,47.0,62.0,700.0,29.0,0.6,1029.7,-16.7,0.0,NE,1.7,Aotizhongxin,2013-03-02,March
35,2013,3,2,10,11.0,19.0,36.0,60.0,600.0,34.0,1.7,1028.9,-16.3,0.0,W,1.6,Aotizhongxin,2013-03-02,March
36,2013,3,2,11,18.0,29.0,36.0,70.0,800.0,27.0,2.2,1028.2,-16.8,0.0,SSW,3.1,Aotizhongxin,2013-03-02,March
37,2013,3,2,12,26.0,30.0,25.0,76.0,900.0,22.0,2.7,1027.3,-16.4,0.0,WSW,2.7,Aotizhongxin,2013-03-02,March
38,2013,3,2,13,25.0,33.0,20.0,57.0,700.0,39.0,3.3,1025.7,-16.4,0.0,W,1.5,Aotizhongxin,2013-03-02,March
39,2013,3,2,14,26.0,35.0,22.0,54.0,700.0,43.0,3.8,1024.8,-16.0,0.0,SE,1.3,Aotizhongxin,2013-03-02,March
40,2013,3,2,15,37.0,40.0,24.0,55.0,700.0,44.0,3.9,1024.1,-16.5,0.0,WNW,1.2,Aotizhongxin,2013-03-02,March
41,2013,3,2,16,37.0,46.0,29.0,63.0,1000.0,38.0,3.5,1023.6,-15.2,0.0,WSW,2.5,Aotizhongxin,2013-03-02,March
42,2013,3,2,17,44.0,58.0,45.0,77.0,1200.0,30.0,2.2,1023.4,-13.6,0.0,SSE,0.4,Aotizhongxin,2013-03-02,March
43,2013,3,2,18,54.0,79.0,50.0,80.0,1100.0,24.0,1.2,1023.2,-12.3,0.0,W,0.9,Aotizhongxin,2013-03-02,March
44,2013,3,2,19,61.0,86.0,50.0,97.0,1300.0,10.0,1.5,1022.9,-13.8,0.0,NE,1.2,Aotizhongxin,2013-03-02,March
45,2013,3,2,20,67.0,96.0,54.0,108.0,1399.0,2.0,1.2,1022.9,-14.1,0.0,NNE,1.2,Aotizhongxin,2013-03-02,March
46,2013,3,2,21,74.0,103.0,72.0,107.0,1399.0,2.0,0.6,1022.6,-14.2,0.0,NE,1.3,Aotizhongxin,2013-03-02,March
47,2013,3,2,22,81.0,113.0,84.0,110.0,1500.0,3.0,-0.6,1022.3,-13.9,0.0,NNE,1.4,Aotizhongxin,2013-03-02,March
48,2013,3,2,23,93.0,120.0,87.0,107.0,1700.0,2.0,-0.8,1021.1,-13.4,0.0,N,1.3,Aotizhongxin,2013-03-02,March
49,2013,3,3,0,112.0,130.0,73.0,100.0,1899.0,2.0,-1.4,1020.4,-13.0,0.0,NNE,1.2,Aotizhongxin,2013-03-03,March
50,2013,3,3,1,109.0,132.0,80.0,101.0,2200.0,2.0,-2.0,1019.4,-13.2,0.0,NE,1.2,Aotizhongxin,2013-03-03,March
51,2013,3,3,2,110.0,132.0,98.0,99.0,2399.0,2.0,-2.8,1018.3,-12.3,0.0,NE,1.4,Aotizhongxin,2013-03-03,March
52,2013,3,3,3,105.0,129.0,88.0,100.0,2500.0,2.0,-2.6,1017.2,-13.2,0.0,NE,1.2,Aotizhongxin,2013-03-03,March
53,2013,3,3,4,106.0,136.0,79.0,92.0,2799.0,2.0,-4.3,1016.9,-11.8,0.0,NNE,0.9,Aotizhongxin,2013-03-03,March
54,2013,3,3,5,101.0,135.0,64.0,87.0,2399.0,2.0,-5.6,1016.3,-10.9,0.0,N,0.8,Aotizhongxin,2013-03-03,March
55,2013,3,3,6,91.0,142.0,67.0,87.0,2100.0,2.0,-5.8,1016.2,-11.0,0.0,NNE,0.8,Aotizhongxin,2013-03-03,March
56,2013,3,3,7,79.0,116.0,83.0,91.0,2000.0,2.0,-3.1,1016.5,-11.1,0.0,NE,1.5,Aotizhongxin,2013-03-03,March
57,2013,3,3,8,77.0,110.0,123.0,90.0,2299.0,2.0,0.7,1016.2,-13.0,0.0,NNE,2.3,Aotizhongxin,2013-03-03,March
58,2013,3,3,9,83.0,119.0,135.0,90.0,2600.0,3.0,3.5,1015.8,-13.8,0.0,NNE,0.4,Aotizhongxin,2013-03-03,March
59,2013,3,3,10,94.0,122.0,116.0,90.0,1800.0,9.0,6.5,1014.9,-13.2,0.0,N,1.3,Aotizhongxin,2013-03-03,March
60,2013,3,3,11,96.0,117.0,89.0,93.0,1600.0,14.0,11.4,1013.8,-10.8,0.0,ESE,0.9,Aotizhongxin,2013-03-03,March
61,2013,3,3,12,91.0,108.0,77.0,99.0,1600.0,14.0,13.8,1012.5,-13.3,0.0,W,1.1,Aotizhongxin,2013-03-03,March
62,2013,3,3,13,98.0,134.0,50.0,81.0,1200.0,33.0,16.0,1011.5,-13.5,0.0,W,5.9,Aotizhongxin,2013-03-03,March
63,2013,3,3,14,72.0,106.0,31.0,57.0,900.0,51.0,16.7,1010.8,-14.0,0.0,WNW,4.3,Aotizhongxin,2013-03-03,March
64,2013,3,3,15,48.0,114.0,14.0,17.0,500.0,77.0,16.9,1010.5,-12.7,0.0,WNW,2.0,Aotizhongxin,2013-03-03,March
65,2013,3,3,16,28.0,100.0,12.0,17.0,400.0,77.0,16.4,1010.6,-15.4,0.0,NW,2.9,Aotizhongxin,2013-03-03,March
66,2013,3,3,17,26.0,103.0,9.0,19.0,400.0,73.0,13.1,1011.1,-10.1,0.0,WSW,1.7,Aotizhongxin,2013-03-03,March
67,2013,3,3,18,24.0,82.0,8.0,27.0,500.0,66.0,8.7,1012.3,-11.3,0.0,NW,1.6,Aotizhongxin,2013-03-03,March
68,2013,3,3,19,19.0,71.0,26.0,98.0,1300.0,11.0,12.2,1013.4,-13.7,0.0,NNW,2.0,Aotizhongxin,2013-03-03,March
69,2013,3,3,20,60.0,175.0,64.0,135.0,2000.0,4.0,11.7,1013.5,-12.6,0.0,N,0.9,Aotizhongxin,2013-03-03,March
70,2013,3,3,21,117.0,181.0,28.0,100.0,1100.0,5.0,5.3,1013.6,-10.9,0.0,N,0.0,Aotizhongxin,2013-03-03,March
71,2013,3,3,22,54.0,105.0,28.0,90.0,1200.0,2.0,3.1,1014.1,-10.2,0.0,NNE,1.8,Aotizhongxin,2013-03-03,March
72,2013,3,3,23,46.0,94.0,29.0,84.0,1200.0,2.0,5.2,1014.8,-10.6,0.0,NNW,1.7,Aotizhongxin,2013-03-03,March
73,2013,3,4,0,42.0,83.0,51.0,86.0,1300.0,4.0,7.7,1015.7,-11.1,0.0,N,2.6,Aotizhongxin,2013-03-04,March
74,2013,3,4,1,49.0,80.0,39.0,64.0,1000.0,25.0,8.2,1016.7,-11.7,0.0,N,2.8,Aotizhongxin,2013-03-04,March
75,2013,3,4,2,34.0,62.0,17.37590140935861,14.0,300.0,68.0,8.1,1016.7,-11.8,0.0,N,4.3,Aotizhongxin,2013-03-04,March
76,2013,3,4,3,12.0,34.0,6.0,12.0,1262.9451453977408,77.0,7.2,1016.9,-11.6,0.0,N,2.8,Aotizhongxin,2013-03-04,March
77,2013,3,4,4,7.0,18.0,14.0,59.305833186451636,400.0,42.0,6.0,1018.0,-11.6,0.0,NNW,1.0,Aotizhongxin,2013-03-04,March
78,2013,3,4,5,10.0,24.0,18.0,45.0,400.0,40.0,2.7,1018.6,-10.9,0.0,SSE,0.5,Aotizhongxin,2013-03-04,March
79,2013,3,4,6,13.0,32.0,24.0,65.0,500.0,22.0,3.8,1018.9,-11.4,0.0,N,2.3,Aotizhongxin,2013-03-04,March
80,2013,3,4,7,14.0,36.0,30.0,70.0,600.0,17.0,6.5,1019.7,-10.7,0.0,N,2.3,Aotizhongxin,2013-03-04,March
81,2013,3,4,8,13.0,35.0,38.0,70.0,700.0,21.0,9.0,1020.7,-12.2,0.0,NE,3.1,Aotizhongxin,2013-03-04,March
82,2013,3,4,9,15.0,32.0,26.0,36.0,500.0,52.0,10.6,1020.8,-12.1,0.0,NNE,1.3,Aotizhongxin,2013-03-04,March
83,2013,3,4,10,16.0,24.0,22.0,36.0,600.0,57.0,11.9,1020.4,-12.4,0.0,NE,2.1,Aotizhongxin,2013-03-04,March
84,2013,3,4,11,18.0,33.0,18.0,27.0,400.0,68.0,13.1,1020.0,-13.0,0.0,NE,3.0,Aotizhongxin,2013-03-04,March
85,2013,3,4,12,13.0,28.0,12.0,14.0,400.0,77.0,14.2,1018.9,-13.9,0.0,N,2.7,Aotizhongxin,2013-03-04,March
86,2013,3,4,13,3.0,12.0,7.0,12.0,300.0,82.0,15.3,1017.8,-13.0,0.0,S,2.0,Aotizhongxin,2013-03-04,March
87,2013,3,4,14,3.0,10.0,8.0,13.0,400.0,84.0,15.2,1017.0,-13.1,0.0,SW,0.7,Aotizhongxin,2013-03-04,March
88,2013,3,4,15,10.0,13.0,9.0,15.0,400.0,84.0,15.3,1016.3,-13.0,0.0,SSW,2.4,Aotizhongxin,2013-03-04,March
89,2013,3,4,16,14.0,20.0,10.0,34.0,500.0,70.0,14.5,1015.7,-13.7,0.0,S,2.6,Aotizhongxin,2013-03-04,March
90,2013,3,4,17,20.0,33.0,14.0,40.0,500.0,78.0,12.7,1015.9,-11.8,0.0,SW,2.6,Aotizhongxin,2013-03-04,March
91,2013,3,4,18,25.0,44.0,13.0,43.0,600.0,75.0,11.6,1016.5,-11.3,0.0,SSW,3.4,Aotizhongxin,2013-03-04,March
92,2013,3,4,19,31.0,63.0,17.0,61.0,700.0,53.0,10.9,1016.6,-10.6,0.0,SW,3.5,Aotizhongxin,2013-03-04,March
93,2013,3,4,20,34.0,84.0,18.0,76.0,800.0,40.0,9.9,1016.9,-10.3,0.0,SSW,3.1,Aotizhongxin,2013-03-04,March
94,2013,3,4,21,40.0,85.0,40.0,76.0,800.0,39.0,8.4,1016.9,-10.0,0.0,SSW,2.1,Aotizhongxin,2013-03-04,March
95,2013,3,4,22,51.0,91.0,46.0,85.0,1000.0,31.0,8.6,1016.3,-9.9,0.0,SSW,2.4,Aotizhongxin,2013-03-04,March
96,2013,3,4,23,58.0,94.0,46.0,86.0,1100.0,84.0,7.7,1015.7,-9.3,0.0,SW,2.1,Aotizhongxin,2013-03-04,March
97,2013,3,5,0,71.0,108.0,66.0,78.0,1100.0,84.0,4.7,1015.2,-9.1,0.0,SW,1.6,Aotizhongxin,2013-03-05,March
98,2013,3,5,1,91.0,127.0,75.0,75.0,1200.0,84.0,1.1,1014.7,-7.9,0.0,SW,0.0,Aotizhongxin,2013-03-05,March
99,2013,3,5,2,100.0,129.0,58.0,79.0,1200.0,84.0,-0.6,1014.4,-8.1,0.0,S,0.0,Aotizhongxin,2013-03-05,March
100,2013,3,5,3,103.0,130.0,66.0,83.0,1399.0,84.0,0.2,1014.0,-8.8,0.0,NE,1.2,Aotizhongxin,2013-03-05,March
101,2013,3,5,4,115.0,151.0,76.0,92.0,2299.0,84.0,1.8,1013.7,-9.5,0.0,NE,1.5,Aotizhongxin,2013-03-05,March
102,2013,3,5,5,117.0,153.0,91.0,91.0,2399.0,84.0,0.6,1013.9,-9.4,0.0,N,0.8,Aotizhongxin,2013-03-05,March
103,2013,3,5,6,104.0,145.0,94.0,89.0,2200.0,84.0,-0.2,1013.4,-8.6,0.0,NE,1.3,Aotizhongxin,2013-03-05,March
104,2013,3,5,7,106.0,146.0,82.0,87.0,2299.0,84.0,2.9,1013.4,-9.1,0.0,NNE,1.3,Aotizhongxin,2013-03-05,March
105,2013,3,5,8,111.0,147.0,101.0,87.0,2399.0,84.0,5.1,1013.4,-9.1,0.0,NNE,1.2,Aotizhongxin,2013-03-05,March
106,2013,3,5,9,114.0,159.0,114.0,92.0,2899.0,84.0,7.7,1012.8,-8.4,0.0,NNE,1.5,Aotizhongxin,2013-03-05,March
107,2013,3,5,10,131.0,177.0,107.0,104.0,2700.0,84.0,9.4,1012.0,-8.2,0.0,NE,1.5,Aotizhongxin,2013-03-05,March
108,2013,3,5,11,138.0,184.0,109.0,115.0,2299.0,84.0,10.6,1011.1,-8.1,0.0,NNE,1.4,Aotizhongxin,2013-03-05,March
109,2013,3,5,12,142.0,184.0,104.0,136.0,2299.0,15.0,11.9,1009.7,-7.5,0.0,NNW,1.3,Aotizhongxin,2013-03-05,March
110,2013,3,5,13,163.0,193.0,94.0,147.0,2200.0,84.0,12.6,1008.5,-8.0,0.0,N,1.0,Aotizhongxin,2013-03-05,March
111,2013,3,5,14,168.0,182.0,85.0,158.0,2100.0,84.0,13.5,1007.7,-7.8,0.0,NNE,1.4,Aotizhongxin,2013-03-05,March
112,2013,3,5,15,165.0,171.0,85.0,172.0,2200.0,78.0,13.8,1007.2,-7.6,0.0,NE,1.2,Aotizhongxin,2013-03-05,March
113,2013,3,5,16,166.0,186.0,97.0,194.0,2700.0,78.0,13.2,1007.1,-7.0,0.0,NE,2.0,Aotizhongxin,2013-03-05,March
114,2013,3,5,17,190.0,218.0,101.0,204.0,2799.0,75.0,12.1,1007.7,-6.4,0.0,NNE,1.6,Aotizhongxin,2013-03-05,March
115,2013,3,5,18,203.0,248.0,107.0,197.0,2500.0,53.0,9.0,1008.2,-5.7,0.0,NE,1.4,Aotizhongxin,2013-03-05,March
116,2013,3,5,19,210.0,255.0,103.0,188.0,2200.0,40.0,5.3,1008.5,-4.8,0.0,ESE,0.0,Aotizhongxin,2013-03-05,March
117,2013,3,5,20,205.0,244.0,106.0,189.0,2500.0,39.0,3.3,1008.7,-4.7,0.0,N,0.2,Aotizhongxin,2013-03-05,March
118,2013,3,5,21,215.0,252.0,93.0,178.0,3100.0,31.0,2.9,1009.0,-4.6,0.0,NNE,1.2,Aotizhongxin,2013-03-05,March
119,2013,3,5,22,219.0,253.0,92.0,169.0,3200.0,29.0,5.2,1008.9,-6.1,0.0,NE,1.1,Aotizhongxin,2013-03-05,March
120,2013,3,5,23,226.0,269.0,147.0,184.0,4400.0,29.0,4.9,1008.4,-6.1,0.0,NE,1.4,Aotizhongxin,2013-03-05,March
121,2013,3,6,0,284.0,315.0,133.0,174.0,4000.0,28.0,4.9,1008.5,-6.4,0.0,NE,1.2,Aotizhongxin,2013-03-06,March
122,2013,3,6,1,272.0,300.0,131.0,166.0,4000.0,22.0,4.8,1008.3,-5.9,0.0,NE,1.5,Aotizhongxin,2013-03-06,March
123,2013,3,6,2,242.0,265.0,109.0,146.0,3200.0,22.0,4.1,1007.8,-5.9,0.0,NE,1.9,Aotizhongxin,2013-03-06,March
124,2013,3,6,3,212.0,229.0,90.0,141.0,2600.0,22.0,4.0,1007.6,-6.3,0.0,NE,1.9,Aotizhongxin,2013-03-06,March
125,2013,3,6,4,192.0,203.0,83.6808,140.4252,1262.9451453977408,22.0,3.9,1007.3,-6.1,0.0,NE,1.4,Aotizhongxin,2013-03-06,March
126,2013,3,6,5,188.0,194.0,92.0,143.0,2500.0,22.0,4.1,1007.8,-5.7,0.0,NE,1.6,Aotizhongxin,2013-03-06,March
127,2013,3,6,6,186.0,194.0,94.0,131.0,2600.0,22.0,4.5,1008.4,-5.3,0.0,NE,2.0,Aotizhongxin,2013-03-06,March
128,2013,3,6,7,188.0,196.0,92.0,129.0,2700.0,22.0,5.7,1009.3,-5.0,0.0,NE,1.7,Aotizhongxin,2013-03-06,March
129,2013,3,6,8,194.0,205.0,102.0,113.0,2500.0,22.0,6.6,1009.3,-4.8,0.0,NE,1.7,Aotizhongxin,2013-03-06,March
130,2013,3,6,9,184.0,198.0,98.0,102.0,2399.0,22.0,7.5,1009.1,-4.6,0.0,NE,1.7,Aotizhongxin,2013-03-06,March
131,2013,3,6,10,175.0,198.0,107.0,103.0,2600.0,22.0,8.7,1008.6,-4.5,0.0,NE,1.5,Aotizhongxin,2013-03-06,March
132,2013,3,6,11,179.0,212.0,119.0,105.0,2399.0,22.0,10.1,1007.7,-4.7,0.0,NE,1.4,Aotizhongxin,2013-03-06,March
133,2013,3,6,12,192.0,219.0,124.0,113.0,2299.0,22.0,11.1,1006.9,-4.2,0.0,ENE,0.4,Aotizhongxin,2013-03-06,March
134,2013,3,6,13,201.0,233.0,126.0,136.0,2700.0,22.0,12.6,1005.8,-3.7,0.0,WSW,1.5,Aotizhongxin,2013-03-06,March
135,2013,3,6,14,230.0,265.0,130.0,146.0,2799.0,14.0,14.5,1005.5,-3.3,0.0,SSE,1.6,Aotizhongxin,2013-03-06,March
136,2013,3,6,15,246.0,277.0,140.0,157.0,2899.0,10.0,14.7,1005.5,-3.2,0.0,SSW,2.5,Aotizhongxin,2013-03-06,March
137,2013,3,6,16,248.0,285.0,154.0,146.0,2799.0,17.0,14.2,1005.5,-3.2,0.0,S,1.4,Aotizhongxin,2013-03-06,March
138,2013,3,6,17,230.0,276.0,145.0,171.0,3200.0,17.0,11.6,1005.9,-3.4,0.0,SSW,1.1,Aotizhongxin,2013-03-06,March
139,2013,3,6,18,239.0,291.0,142.0,177.0,3500.0,17.0,6.8,1006.8,-2.9,0.0,WSW,0.9,Aotizhongxin,2013-03-06,March
140,2013,3,6,19,242.0,338.0,124.0,164.0,3700.0,17.0,5.1,1007.6,-2.5,0.0,WSW,1.2,Aotizhongxin,2013-03-06,March
141,2013,3,6,20,254.0,396.0,107.0,154.0,4200.0,17.0,4.4,1008.2,-2.5,0.0,SSW,1.1,Aotizhongxin,2013-03-06,March
142,2013,3,6,21,266.0,380.0,117.0,159.0,3799.0,17.0,3.8,1007.7,-2.2,0.0,WSW,1.9,Aotizhongxin,2013-03-06,March
143,2013,3,6,22,254.0,335.0,111.0,148.0,4099.0,17.0,2.4,1007.3,-2.5,0.0,WSW,1.2,Aotizhongxin,2013-03-06,March
144,2013,3,6,23,260.0,360.0,119.0,145.0,4000.0,17.0,2.3,1007.2,-2.4,0.0,NNE,1.3,Aotizhongxin,2013-03-06,March
145,2013,3,7,0,250.0,319.0,102.0,139.0,4000.0,17.0,1.5,1007.1,-2.6,0.0,NNE,0.8,Aotizhongxin,2013-03-07,March
146,2013,3,7,1,240.0,297.0,91.0,127.0,4000.0,17.0,0.7,1007.1,-2.7,0.0,SE,1.2,Aotizhongxin,2013-03-07,March
147,2013,3,7,2,238.0,294.0,83.0,133.0,4000.0,17.0,1.5,1006.9,-2.5,0.0,NNE,0.6,Aotizhongxin,2013-03-07,March
148,2013,3,7,3,243.0,293.0,86.0,121.0,4099.0,17.0,0.3,1006.5,-2.7,0.0,WNW,1.7,Aotizhongxin,2013-03-07,March
149,2013,3,7,4,246.0,304.0,57.0,113.0,5000.0,17.0,-0.9,1006.4,-3.3,0.0,N,0.5,Aotizhongxin,2013-03-07,March
150,2013,3,7,5,275.0,337.0,46.0,103.0,5599.0,17.0,1.6,1006.7,-1.5,0.0,NNE,1.7,Aotizhongxin,2013-03-07,March
151,2013,3,7,6,306.0,366.0,41.0,114.0,5700.0,17.0,0.3,1006.6,-2.7,0.0,SW,0.4,Aotizhongxin,2013-03-07,March
152,2013,3,7,7,320.0,374.0,46.0,124.0,4599.0,17.0,2.4,1006.8,-1.4,0.0,NNE,1.5,Aotizhongxin,2013-03-07,March
153,2013,3,7,8,292.0,344.0,78.0,106.0,3700.0,17.0,8.3,1006.5,-1.0,0.0,NNE,0.8,Aotizhongxin,2013-03-07,March
154,2013,3,7,9,251.0,282.0,182.0,116.0,3299.0,17.0,10.1,1006.1,-0.7,0.0,W,0.6,Aotizhongxin,2013-03-07,March
155,2013,3,7,10,228.0,255.0,166.0,135.0,3200.0,17.0,12.7,1005.5,-1.6,0.0,ENE,1.2,Aotizhongxin,2013-03-07,March
156,2013,3,7,11,217.0,255.0,169.0,171.0,4000.0,17.0,16.5,1003.6,-1.6,0.0,WSW,1.7,Aotizhongxin,2013-03-07,March
157,2013,3,7,12,255.0,311.0,154.0,201.0,4000.0,17.0,17.1,1001.6,-3.1,0.0,SSW,3.7,Aotizhongxin,2013-03-07,March
158,2013,3,7,13,258.0,283.0,111.0,226.0,3700.0,17.0,17.7,1000.2,-3.2,0.0,SW,3.1,Aotizhongxin,2013-03-07,March
159,2013,3,7,14,277.0,284.0,102.0,167.0,2899.0,39.0,18.3,998.6,-3.2,0.0,SSW,3.6,Aotizhongxin,2013-03-07,March
160,2013,3,7,15,282.0,326.0,79.0,130.0,2399.0,61.0,18.6,997.6,-1.8,0.0,SSW,3.3,Aotizhongxin,2013-03-07,March
161,2013,3,7,16,267.0,310.0,62.0,97.0,1899.0,80.0,17.9,997.2,-0.9,0.0,SW,1.9,Aotizhongxin,2013-03-07,March
162,2013,3,7,17,216.0,257.0,64.0,86.0,1600.0,84.0,15.4,997.1,-1.7,0.0,NNW,1.4,Aotizhongxin,2013-03-07,March
163,2013,3,7,18,201.0,255.0,76.0,125.0,1899.0,84.0,14.4,997.4,-2.5,0.0,N,1.9,Aotizhongxin,2013-03-07,March
164,2013,3,7,19,211.0,287.0,79.0,173.0,2399.0,10.0,13.4,997.9,-2.6,0.0,NNE,1.5,Aotizhongxin,2013-03-07,March
165,2013,3,7,20,227.0,298.0,99.0,207.0,3399.0,84.0,11.8,997.7,-2.1,0.0,NE,1.5,Aotizhongxin,2013-03-07,March
166,2013,3,7,21,282.0,377.0,114.0,213.0,4000.0,84.0,9.2,997.9,-1.3,0.0,NNE,1.4,Aotizhongxin,2013-03-07,March
167,2013,3,7,22,363.0,452.0,126.0,210.0,4000.0,84.0,7.5,998.3,-1.2,0.0,NE,1.3,Aotizhongxin,2013-03-07,March
168,2013,3,7,23,376.0,426.0,128.0,209.0,3799.0,84.0,6.6,998.4,-0.9,0.0,E,0.1,Aotizhongxin,2013-03-07,March
169,2013,3,8,0,344.0,389.0,107.0,195.0,3799.0,84.0,4.1,998.2,-1.3,0.0,ESE,0.0,Aotizhongxin,2013-03-08,March
170,2013,3,8,1,339.0,370.0,90.0,177.0,4099.0,84.0,3.3,998.5,-1.7,0.0,N,0.9,Aotizhongxin,2013-03-08,March
171,2013,3,8,2,339.0,400.0,17.37590140935861,162.0,3899.0,84.0,2.5,998.2,-1.9,0.0,SW,0.8,Aotizhongxin,2013-03-08,March
172,2013,3,8,3,324.0,373.0,71.0,154.0,1262.9451453977408,84.0,1.8,997.9,-1.8,0.0,N,0.0,Aotizhongxin,2013-03-08,March
173,2013,3,8,4,322.0,345.0,62.0,59.305833186451636,3299.0,84.0,1.3,998.5,-1.8,0.0,W,1.0,Aotizhongxin,2013-03-08,March
174,2013,3,8,5,315.0,346.0,47.0,144.0,3200.0,84.0,1.4,999.0,-1.5,0.0,SW,0.8,Aotizhongxin,2013-03-08,March
175,2013,3,8,6,310.0,327.0,45.0,146.0,3299.0,84.0,1.1,999.7,-1.8,0.0,WSW,0.8,Aotizhongxin,2013-03-08,March
